generation,best_fitness,avg_fitness,phenotypic_entropy,genotypic_entropy,fitness_variance,genotypic_variance
3729,25.6878604888916,27.01459726333618,0.19059275357069727,0.25024704723876173,21.705514511322107,112.68274501567711
3730,25.6878604888916,26.427923851013183,0.24976834869318656,0.2607167294058318,3.259443152319162,149.11935196567066
3731,25.6878604888916,26.775160121917725,0.3823394220739645,0.27001833893372473,5.062696050479381,202.627316411637
3732,25.6878604888916,26.31591106414795,0.4395629563097599,0.29132774786621324,0.8953877772510006,147.89628164414805
3733,25.6878604888916,26.27268175125122,0.4595564384435604,0.3034315408498812,0.657403216779265,154.00904330323868
3734,25.6878604888916,26.318757629394533,0.3626948420009236,0.3071915196187477,1.3093194868233695,222.57555377838523
3735,25.6878604888916,26.33642265319824,0.3102373933988905,0.3217874988997684,1.1812266620431562,232.53572295950602
3736,25.6878604888916,26.467076072692873,0.28924290404902603,0.3375813648416074,2.675714786149239,250.68125289642816
3737,25.6878604888916,26.284723815917967,0.374114629241478,0.3321622837314542,0.7997621242494701,250.29955196098936
3738,25.6878604888916,26.535230712890623,0.42808049596299785,0.3440576377166658,2.1524232740100646,257.28014211026584
3739,25.6878604888916,26.512140998840334,0.26059934249276334,0.33801851589891296,2.739965781026023,230.4625637752467
3740,25.6878604888916,26.576241111755373,0.34088389898914273,0.3316573812230349,3.117220746332496,191.8179034911744
3741,25.686927795410156,26.46014835357666,0.3141149051000107,0.3231814067947299,2.236451127961381,129.0799902910826
3742,25.686927795410156,26.362953205108642,0.34705606583098586,0.3226762130630583,1.3027611402809631,135.41583764783672
3743,25.686927795410156,26.322786655426025,0.22657152330267363,0.3064191808183826,2.2461711324351965,147.54452960783482
3744,25.686927795410156,26.52616771697998,0.3200437891721416,0.27581180731405003,2.976099850437035,125.18442320028672
3745,25.686927795410156,26.55847047805786,0.2919318675863125,0.2712111178224338,3.5591085227748893,117.91087792425544
3746,25.686927795410156,26.595439949035644,0.23350386749533436,0.27847953990884683,5.742387485389551,151.20608784130303
3747,25.686922073364258,26.261610221862792,0.45705516890252795,0.2920625322839794,0.7517842162312809,166.5302526296414
3748,25.686922073364258,26.74112268447876,0.3063903209935591,0.3065303195390075,7.034453846310489,311.843266346095
3749,25.686922073364258,26.504609489440917,0.3284838491357414,0.3167722089914098,2.849114337936517,207.37266882997739
